rule_id,rule_answer,rb_ii_class,difficulty,mcc_mean,mcc_decile,mcc_std,base_rate,base_rate_decile,ast_complexity,n_features,features,entropy_norm,H_decile,eff_n_classes,n_parse_errors,failure_dir,time_s_mean,decomposable,missed_component,nearest_conf,n_eff
four_kind_adjacent_any,"Four positions share the same rank (any position, not necessarily adjacent)",RB_CLEAR,1,0.9366,10,0.24554714414955023,0.0007,2,38,2,"position, rank",0.48406953111478324,2,3.827170367691972,0,near_ceiling,72.1208125,,,pair_jacks_pos45,16
all_same_suit,All six cards share the same suit,RB_CLEAR,1,0.89035,10,0.29010663125823233,0.0004,2,27,1,suit,0.1358911107998991,1,1.4575692649810903,0,near_ceiling,54.32625,,,all_same_color,16
all_red,All cards are red (hearts or diamonds),RB_CLEAR,1,0.8406157894736842,10,0.3672191031941184,0.0112,5,24,2,"color, suit",0.2070436602386923,1,1.8397458251916539,0,low_signal,67.90668421052632,,,pair_jacks_pos45,19
left_red_right_black,"Left three cards are red, right three are black",RB_CLEAR,1,0.86089375,10,0.29349930891901177,0.0169,6,99,2,"color, position",0.24834818225259064,1,1.9908613201724465,0,near_ceiling,59.5728125,,,some_half_red_other_black,16
four_diamonds_anywhere,At least four of the six cards are diamonds,RB_CLEAR,2,0.7888958333333335,10,0.3700341836452036,0.0284,7,24,1,suit,0.4800095516968626,2,4.597424219468745,0,low_signal,94.69875,,,all_red,24
even_odd_pos_color_split,"Even-numbered positions are one color, odd are the other (either direction)",RB_CLEAR,3,0.7767263157894737,10,0.34881572399689664,0.0331,8,86,3,"color, position, rank",0.30485338335391726,1,2.4537615774811226,0,low_signal,74.73636842105263,,,some_half_red_other_black,19
even_pos_red_odd_pos_black,"Odd positions (1,3,5) are black, even positions (2,4,6) are red",RB_CLEAR,2,0.6879947368421053,9,0.4028911796054589,0.0168,6,62,3,"color, position, rank",0.4397356951897334,2,3.6501743057256792,0,low_signal,44.26073684210526,,,even_odd_pos_color_split,19
all_same_color,All cards share the same color (all red or all black),RB_CLEAR,1,0.7341458333333333,9,0.45471609913876176,0.0229,7,41,1,color,0.41838855470524916,1,3.77976314968462,0,low_signal,111.59025,,,left_red_right_black,24
two_pairs_ranks,Two different ranks each appear at least twice,RB_CLEAR,2,0.6151473684210526,9,0.4315506305216123,0.1329,9,42,1,rank,0.7074779047860963,7,8.029526178073725,0,low_signal,75.74031578947368,,,some_half_red_other_black,19
all_4s_8s_or_9s,"Every card is a 4, 8, or 9",RB_CLEAR,1,0.5596434782608696,9,0.4800019590776026,0.0,1,24,1,set(),0.5865171659110164,4,6.29037810669078,0,low_signal,61.408,,,two_pairs_ranks,23
